index,score,path_size
0,17080.0,100
1,9188.0,100
2,12280.0,100
3,11452.0,100
4,14168.0,100
5,2572.0,100
6,9280.0,100
7,8764.0,100
8,5464.0,100
9,3428.0,100
10,7044.0,100
11,12828.0,100
12,9248.0,100
13,15320.0,100
14,6028.0,100
15,5668.0,100
16,4200.0,100
17,2488.0,100
18,30456.0,100
19,3756.0,100
20,6116.0,100
21,2392.0,100
22,7864.0,100
23,3628.0,100
24,8604.0,100
25,5156.0,100
26,23676.0,100
27,18724.0,100
28,4464.0,100
29,15804.0,100
30,1304.0,100
31,14512.0,100
32,8852.0,100
33,9728.0,100
34,3960.0,100
35,2672.0,100
36,12416.0,100
37,31788.0,100
38,26136.0,100
39,14484.0,100
40,18944.0,100
41,1936.0,100
42,12860.0,100
43,5352.0,100
44,15788.0,100
45,11356.0,100
46,10536.0,100
47,14676.0,100
48,7348.0,100
49,5260.0,100
50,19644.0,100
51,20776.0,100
52,8920.0,100
53,28316.0,100
54,6448.0,100
55,11556.0,100
56,21292.0,100
57,4808.0,100
58,9512.0,100
59,2700.0,100
60,37392.0,100
61,4456.0,100
62,5280.0,100
63,1396.0,100
64,14284.0,100
65,7948.0,100
66,2812.0,100
67,6396.0,100
68,9888.0,100
69,3332.0,100
70,22168.0,100
71,4436.0,100
72,4688.0,100
73,3376.0,100
74,3580.0,100
75,5124.0,100
76,19544.0,100
77,12996.0,100
78,8052.0,100
79,1496.0,100
80,14684.0,100
81,23460.0,100
82,2768.0,100
83,9044.0,100
84,3256.0,100
85,30048.0,100
86,20396.0,100
87,4664.0,100
88,9648.0,100
89,5324.0,100
90,7684.0,100
91,3488.0,100
92,2336.0,100
93,4172.0,100
94,14844.0,100
95,12300.0,100
96,3940.0,100
97,25080.0,100
98,4288.0,100
99,25648.0,100
100,10308.0,100
101,4684.0,100
102,7948.0,100
103,3400.0,100
104,7416.0,100
105,3892.0,100
106,6908.0,100
107,16924.0,100
108,7832.0,100
109,4144.0,100
110,9212.0,100
111,6528.0,100
112,1944.0,100
113,6676.0,100
114,18212.0,100
115,1776.0,100
116,11660.0,100
117,12412.0,100
118,14240.0,100
119,6228.0,100
120,3196.0,100
121,12292.0,100
122,37224.0,100
123,6880.0,100
124,2708.0,100
125,10504.0,100
126,35552.0,100
127,2744.0,100
128,13832.0,100
129,13040.0,100
130,3520.0,100
131,4252.0,100
132,7760.0,100
133,11368.0,100
134,6096.0,100
135,13600.0,100
136,38620.0,100
137,16348.0,100
138,7108.0,100
139,12800.0,100
140,1908.0,100
141,13988.0,100
142,21548.0,100
143,29260.0,100
144,24080.0,100
145,3648.0,100
146,15308.0,100
147,8260.0,100
148,2432.0,100
149,7804.0,100
150,9664.0,100
151,9428.0,100
152,4536.0,100
153,1744.0,100
154,2144.0,100
155,7060.0,100
156,14944.0,100
157,5512.0,100
158,15628.0,100
159,3924.0,100
160,9104.0,100
161,9072.0,100
162,5684.0,100
163,3508.0,100
164,3592.0,100
165,19984.0,100
166,26448.0,100
167,5816.0,100
168,11676.0,100
169,12464.0,100
170,15812.0,100
171,4068.0,100
172,8128.0,100
173,4548.0,100
174,3484.0,100
175,23964.0,100
176,11560.0,100
177,2444.0,100
178,13644.0,100
179,4592.0,100
180,15932.0,100
181,6112.0,100
182,13896.0,100
183,6964.0,100
184,5360.0,100
185,10776.0,100
186,9828.0,100
187,20228.0,100
188,18224.0,100
189,6208.0,100
190,3204.0,100
191,7704.0,100
192,13768.0,100
193,2764.0,100
194,2628.0,100
195,17444.0,100
196,8048.0,100
197,15660.0,100
198,4068.0,100
199,7220.0,100
200,3216.0,100
201,8380.0,100
202,17696.0,100
203,6108.0,100
204,17760.0,100
205,2604.0,100
206,9172.0,100
207,12488.0,100
208,3224.0,100
209,12928.0,100
210,19088.0,100
211,27248.0,100
212,13276.0,100
213,5672.0,100
214,23344.0,100
215,25932.0,100
216,14448.0,100
217,2452.0,100
218,8080.0,100
219,8988.0,100
220,1508.0,100
221,20816.0,100
222,3248.0,100
223,16448.0,100
224,3220.0,100
225,2996.0,100
226,10284.0,100
227,10548.0,100
228,12456.0,100
229,20552.0,100
230,14400.0,100
231,28208.0,100
232,3968.0,100
233,3792.0,100
234,4924.0,100
235,13588.0,100
236,6412.0,100
237,8116.0,100
238,14924.0,100
239,13648.0,100
240,2372.0,100
241,8920.0,100
242,6092.0,100
243,2360.0,100
244,17916.0,100
245,3336.0,100
246,6248.0,100
247,5088.0,100
248,3984.0,100
249,4072.0,100
250,5768.0,100
251,6968.0,100
252,15584.0,100
253,10164.0,100
254,5224.0,100
255,2572.0,100
256,4780.0,100
257,4768.0,100
258,5244.0,100
259,7836.0,100
260,7876.0,100
261,15364.0,100
262,14636.0,100
263,10060.0,100
264,992.0,100
265,20896.0,100
266,4496.0,100
267,7460.0,100
268,3648.0,100
269,6704.0,100
270,5464.0,100
271,19616.0,100
272,50600.0,100
273,3104.0,100
274,8208.0,100
275,5236.0,100
276,4088.0,100
277,31468.0,100
278,13236.0,100
279,11608.0,100
280,1392.0,100
281,8512.0,100
282,5732.0,100
283,5780.0,100
284,16584.0,100
285,12052.0,100
286,8356.0,100
287,2292.0,100
288,2872.0,100
289,4404.0,100
290,24500.0,100
291,7704.0,100
292,11008.0,100
293,12280.0,100
294,8068.0,100
295,18668.0,100
296,4992.0,100
297,52504.0,100
298,3992.0,100
299,11140.0,100
300,6840.0,100
301,2220.0,100
302,5372.0,100
303,12360.0,100
304,10340.0,100
305,6240.0,100
306,4708.0,100
307,29752.0,100
308,4688.0,100
309,11824.0,100
310,4204.0,100
311,26212.0,100
312,2916.0,100
313,4484.0,100
314,2964.0,100
315,8816.0,100
316,8812.0,100
317,6968.0,100
318,16476.0,100
319,11516.0,100
320,13100.0,100
321,6568.0,100
322,4744.0,100
323,6348.0,100
324,3184.0,100
325,4272.0,100
326,17384.0,100
327,9052.0,100
328,15944.0,100
329,9080.0,100
330,15012.0,100
331,14564.0,100
332,15244.0,100
333,3384.0,100
334,3548.0,100
335,15048.0,100
336,9864.0,100
337,7220.0,100
338,1608.0,100
339,7664.0,100
340,33996.0,100
341,6416.0,100
342,4828.0,100
343,1372.0,100
344,18008.0,100
345,13168.0,100
346,3388.0,100
347,7004.0,100
348,17068.0,100
349,18480.0,100
350,5184.0,100
351,4672.0,100
352,4256.0,100
353,21716.0,100
354,17416.0,100
355,8824.0,100
356,8560.0,100
357,8464.0,100
358,14336.0,100
359,2200.0,100
360,3996.0,100
361,15876.0,100
362,7364.0,100
363,4436.0,100
364,5584.0,100
365,12980.0,100
366,14736.0,100
367,24072.0,100
368,15320.0,100
369,3548.0,100
370,6948.0,100
371,7940.0,100
372,856.0,100
373,5572.0,100
374,6260.0,100
375,16584.0,100
376,21220.0,100
377,14448.0,100
378,3492.0,100
379,10596.0,100
380,6236.0,100
381,8104.0,100
382,10848.0,100
383,4828.0,100
384,7560.0,100
385,8252.0,100
386,8648.0,100
387,15396.0,100
388,3104.0,100
389,9024.0,100
390,2168.0,100
391,9780.0,100
392,13948.0,100
393,13956.0,100
394,7228.0,100
395,6036.0,100
396,15656.0,100
397,3996.0,100
398,8800.0,100
399,15332.0,100
400,16020.0,100
401,10748.0,100
402,8452.0,100
403,15072.0,100
404,5548.0,100
405,8060.0,100
406,30220.0,100
407,15044.0,100
408,4964.0,100
409,9112.0,100
410,18540.0,100
411,8996.0,100
412,6400.0,100
413,9860.0,100
414,14364.0,100
415,7644.0,100
416,18068.0,100
417,11980.0,100
418,1036.0,100
419,1752.0,100
420,3640.0,100
421,9748.0,100
422,12508.0,100
423,21032.0,100
424,9392.0,100
425,6248.0,100
426,8112.0,100
427,10344.0,100
428,7152.0,100
429,3876.0,100
430,11560.0,100
431,16660.0,100
432,5424.0,100
433,8716.0,100
434,6224.0,100
435,1260.0,100
436,7152.0,100
437,8400.0,100
438,16148.0,100
439,10956.0,100
440,5304.0,100
441,8760.0,100
442,4460.0,100
443,5988.0,100
444,23704.0,100
445,19148.0,100
446,6760.0,100
447,16532.0,100
448,1964.0,100
449,3880.0,100
450,9428.0,100
451,27776.0,100
452,8140.0,100
453,9272.0,100
454,3620.0,100
455,8648.0,100
456,13764.0,100
457,13128.0,100
458,17892.0,100
459,8188.0,100
460,6572.0,100
461,6904.0,100
462,4084.0,100
463,952.0,100
464,18584.0,100
465,27572.0,100
466,10048.0,100
467,6248.0,100
468,14400.0,100
469,8984.0,100
470,5528.0,100
471,6964.0,100
472,12532.0,100
473,8372.0,100
474,7256.0,100
475,27952.0,100
476,4616.0,100
477,2516.0,100
478,11148.0,100
479,8104.0,100
480,6744.0,100
481,3796.0,100
482,8212.0,100
483,1420.0,100
484,51468.0,100
485,2076.0,100
486,22648.0,100
487,16680.0,100
488,19196.0,100
489,12056.0,100
490,31780.0,100
491,1212.0,100
492,8960.0,100
493,6472.0,100
494,16316.0,100
495,1528.0,100
496,17900.0,100
497,16032.0,100
498,10040.0,100
499,11788.0,100
500,3708.0,100
501,20504.0,100
502,8256.0,100
503,14340.0,100
504,14344.0,100
505,23448.0,100
506,7512.0,100
507,28224.0,100
508,9256.0,100
509,8128.0,100
510,11752.0,100
511,2428.0,100
512,17616.0,100
513,5960.0,100
514,7472.0,100
515,8688.0,100
516,1440.0,100
517,3880.0,100
518,5780.0,100
519,12180.0,100
520,7788.0,100
521,8392.0,100
522,12940.0,100
523,4952.0,100
524,3808.0,100
525,15996.0,100
526,15048.0,100
527,3496.0,100
528,7952.0,100
529,17452.0,100
530,3508.0,100
531,2632.0,100
532,8160.0,100
533,8100.0,100
534,3264.0,100
535,13124.0,100
536,3336.0,100
537,10752.0,100
538,3728.0,100
539,13232.0,100
540,22296.0,100
541,2824.0,100
542,49552.0,100
543,2844.0,100
544,5468.0,100
545,13556.0,100
546,5196.0,100
547,3552.0,100
548,2928.0,100
549,27484.0,100
550,5416.0,100
551,9884.0,100
552,4856.0,100
553,9348.0,100
554,12020.0,100
555,6640.0,100
556,3588.0,100
557,2912.0,100
558,18156.0,100
559,16612.0,100
560,5076.0,100
561,22004.0,100
562,3888.0,100
563,4044.0,100
564,16236.0,100
565,24600.0,100
566,3220.0,100
567,16072.0,100
568,5516.0,100
569,3432.0,100
570,10180.0,100
571,31120.0,100
572,3964.0,100
573,8148.0,100
574,5760.0,100
575,8428.0,100
576,684.0,100
577,16516.0,100
578,4444.0,100
579,38272.0,100
580,9080.0,100
581,5884.0,100
582,4908.0,100
583,9608.0,100
584,12324.0,100
585,5492.0,100
586,5104.0,100
587,15060.0,100
588,4052.0,100
589,10644.0,100
590,17596.0,100
591,6844.0,100
592,26892.0,100
